Export of Imageset (COPY)test-nagoya-game-02 (ball annotations in bounding boxes)
[team|UTRA Robosoccer]
[set|(COPY)test-nagoya-game-02]
[format: "label::annotation_type|filename|img_width|img_height|x1|y1|x2|y2|center_x|center_y|width|height"]


label::robot|test_nagoya_game_d_00439.png|800|600|189|18|215|68|202.0|43.0|26|50
label::robot|test_nagoya_game_d_00439.png|800|600|562|10|589|63|575.5|36.5|27|53
label::robot|test_nagoya_game_d_00439.png|800|600|7|30|89|244|48.0|137.0|82|214
label::robot|test_nagoya_game_d_00439.png|800|600|433|71|473|171|453.0|121.0|40|100
label::robot|test_nagoya_game_d_00438.png|800|600|189|14|215|64|202.0|39.0|26|50
label::robot|test_nagoya_game_d_00438.png|800|600|562|4|589|57|575.5|30.5|27|53
label::robot|test_nagoya_game_d_00438.png|800|600|7|30|89|244|48.0|137.0|82|214
label::robot|test_nagoya_game_d_00438.png|800|600|435|63|475|163|455.0|113.0|40|100
label::robot|test_nagoya_game_d_00437.png|800|600|191|10|217|60|204.0|35.0|26|50
label::robot|test_nagoya_game_d_00437.png|800|600|566|0|593|53|579.5|26.5|27|53
label::robot|test_nagoya_game_d_00437.png|800|600|5|20|91|234|48.0|127.0|86|214
label::robot|test_nagoya_game_d_00437.png|800|600|435|61|475|161|455.0|111.0|40|100
label::robot|test_nagoya_game_d_00436.png|800|600|195|10|221|60|208.0|35.0|26|50
label::robot|test_nagoya_game_d_00436.png|800|600|570|0|597|53|583.5|26.5|27|53
label::robot|test_nagoya_game_d_00436.png|800|600|14|28|100|236|57.0|132.0|86|208
label::robot|test_nagoya_game_d_00436.png|800|600|439|61|479|161|459.0|111.0|40|100
label::robot|test_nagoya_game_d_00435.png|800|600|199|8|225|58|212.0|33.0|26|50
label::robot|test_nagoya_game_d_00435.png|800|600|574|0|601|53|587.5|26.5|27|53
label::robot|test_nagoya_game_d_00435.png|800|600|14|28|100|236|57.0|132.0|86|208
label::robot|test_nagoya_game_d_00435.png|800|600|443|59|483|159|463.0|109.0|40|100
label::robot|test_nagoya_game_d_00434.png|800|600|199|8|225|58|212.0|33.0|26|50
label::robot|test_nagoya_game_d_00434.png|800|600|574|0|601|49|587.5|24.5|27|49
label::robot|test_nagoya_game_d_00434.png|800|600|16|22|102|230|59.0|126.0|86|208
label::robot|test_nagoya_game_d_00434.png|800|600|443|53|483|153|463.0|103.0|40|100
label::robot|test_nagoya_game_d_00433.png|800|600|197|0|223|54|210.0|27.0|26|54
label::robot|test_nagoya_game_d_00433.png|800|600|574|0|601|49|587.5|24.5|27|49
label::robot|test_nagoya_game_d_00433.png|800|600|12|20|98|228|55.0|124.0|86|208
label::robot|test_nagoya_game_d_00433.png|800|600|445|53|485|153|465.0|103.0|40|100
label::robot|test_nagoya_game_d_00432.png|800|600|193|2|219|52|206.0|27.0|26|50
label::robot|test_nagoya_game_d_00432.png|800|600|572|0|599|45|585.5|22.5|27|45
label::robot|test_nagoya_game_d_00432.png|800|600|6|18|92|226|49.0|122.0|86|208
label::robot|test_nagoya_game_d_00432.png|800|600|441|53|481|153|461.0|103.0|40|100
label::robot|test_nagoya_game_d_00431.png|800|600|193|2|219|52|206.0|27.0|26|50
